student_id,gender,age,year_of_study,attendance_rate,num_absences,assignments_avg,midterm_score,final_score,project_participation,lab_hours_per_week,infra_usage_hours_month,supervisor_assigned,scholarship,socioeconomic_status,extracurricular_count,lab_access,classroom_allocated,promotion_size,overall_grade,ratio_presence_note,participation_projets_ponderee,moyenne_filiere,gender_encoded,scholarship_encoded,lab_access_encoded,supervisor_assigned_encoded,filiere_Electrique,filiere_Energetique,filiere_GenieCivil,filiere_Informatique,filiere_Mecanique,filiere_Telecom
ENSPD004820,Male,19.0,1,0.9999999999999999,0.0,0.5879732739420935,0.78,0.34500000000000003,4.0,9.3,48.1,Yes,Yes,Low,0.0,Yes,Salle 2,248.0,0.43194444444444435,0.45303405877038405,0.8,0.5818364233587374,1,1,1,1,False,False,False,True,False,False
ENSPD004834,Male,19.0,3,0.6547433903576981,22.0,0.4654788418708241,0.8320000000000001,0.763,0.0,0.2,4.9,No,No,Middle,1.0,Yes,Salle 8,185.0,0.7097222222222221,0.19434936676985562,0.0,0.6476742668343078,1,0,1,0,False,False,True,False,False,False
ENSPD002823,Female,18.0,1,0.7356143079315708,17.0,0.7383073496659243,0.484,0.449,1.0,0.1,8.0,Yes,Yes,Middle,4.0,No,Salle 24,149.0,0.3930555555555556,0.37815842336938044,0.166,0.6476742668343078,0,1,0,1,False,False,True,False,False,False
ENSPD003173,Male,24.0,2,0.18351477449455667,52.0,0.3685968819599109,0.746,0.5760000000000001,4.0,1.8,14.6,Yes,No,Middle,1.0,No,Salle 19,119.0,0.4,0.15083614338566406,0.38,1.0,1,0,0,1,False,False,False,False,False,False
ENSPD000621,Male,20.0,2,0.37947122861586313,40.0,0.690423162583519,0.551,0.961,1.0,0.2,6.2,Yes,No,Middle,1.0,Yes,Salle 23,231.0,0.6069444444444445,0.14591788672661035,0.1202,0.9860656366780134,1,0,1,1,False,False,False,False,True,False
ENSPD001710,Female,22.0,3,0.7045101088646967,19.0,0.6258351893095769,0.792,0.6950000000000001,1.0,0.3,2.6,No,No,Middle,1.0,No,Salle 2,212.0,0.6666666666666667,0.2238262344190388,0.162,0.9860656366780134,0,0,0,0,False,False,False,False,True,False
ENSPD004255,Male,23.0,4,0.5023328149300156,32.0,0.49888641425389757,0.49100000000000005,1.0,0.0,1.7,9.9,Yes,No,Middle,1.0,No,Salle 12,173.0,0.7194444444444443,0.14862382878656358,0.0,0.6476742668343078,1,0,0,1,False,False,True,False,False,False
ENSPD000120,Male,23.0,2,0.9999999999999999,0.0,0.8162583518930958,0.741,0.28500000000000003,0.0,1.1,9.4,Yes,No,Middle,1.0,Yes,Salle 5,177.0,0.4722222222222222,0.42263423240638653,0.0,0.6476742668343078,1,0,1,1,False,False,True,False,False,False
ENSPD002610,Male,24.0,5,0.7060653188180402,19.0,0.623608017817372,0.051,0.665,1.0,0.7,1.5,Yes,No,Low,2.0,No,Salle 22,60.0,0.28194444444444444,0.4604402541698378,0.16219999999999998,0.7508690441401171,1,0,0,1,False,False,False,False,False,True
ENSPD002008,Female,19.0,3,0.6547433903576981,22.0,0.7071269487750558,0.499,0.266,0.0,1.4,22.1,No,Yes,Middle,1.0,Yes,Salle 1,104.0,0.3597222222222223,0.36932549577589846,0.0,0.0,0,1,1,0,False,True,False,False,False,False
ENSPD001169,Male,21.0,5,0.8693623639191289,8.0,0.5412026726057906,0.44700000000000006,0.635,2.0,1.0,14.3,No,No,Middle,0.0,No,Salle 4,48.0,0.31805555555555554,0.5003629440760438,0.3664,1.0,1,0,0,0,False,False,False,False,False,False
ENSPD000732,Female,20.0,1,0.8538102643856921,9.0,0.655902004454343,0.684,0.245,0.0,0.8,5.3,No,No,High,1.0,Yes,Salle 25,96.0,0.3375,0.47444076745667785,0.0,1.0,0,0,1,0,False,False,False,False,False,False
ENSPD002976,Male,27.0,3,0.9331259720062209,4.0,0.4888641425389756,0.929,0.419,0.0,1.4,5.1,No,No,Middle,2.0,Yes,Salle 9,263.0,0.5166666666666666,0.36929806870237236,0.0,0.5818364233587374,1,0,1,0,False,False,False,True,False,False
ENSPD004447,Male,21.0,3,0.8662519440124418,9.0,0.7115812917594654,0.539,0.8420000000000001,1.0,0.5,11.5,Yes,No,Middle,1.0,Yes,Salle 16,188.0,0.726388888888889,0.24757973455340213,0.18280000000000002,0.900740336465212,1,0,1,1,True,False,False,False,False,False
ENSPD003662,Male,20.0,2,0.7698289269051323,15.0,0.757238307349666,0.86,0.785,1.0,2.0,10.8,Yes,No,Low,2.0,Yes,Salle 22,231.0,0.797222222222222,0.19759406643890956,0.1704,0.9860656366780134,1,0,1,1,False,False,False,False,True,False
ENSPD001931,Male,23.0,3,0.8118195956454123,12.0,0.7438752783964365,0.946,0.16899999999999998,1.0,1.4,5.4,No,Yes,Middle,2.0,Yes,Salle 4,212.0,0.4722222222222222,0.35375974415012357,0.1758,0.9860656366780134,1,1,1,0,False,False,False,False,True,False
ENSPD003737,Female,21.0,5,0.9999999999999999,0.0,0.8385300668151447,0.652,0.635,0.0,0.6,4.5,Yes,No,Middle,1.0,Yes,Salle 7,67.0,0.6694444444444445,0.30942988994491005,0.0,0.9860656366780134,0,0,1,1,False,False,False,False,True,False
ENSPD001354,Female,22.0,3,0.7185069984447902,18.0,0.8207126948775056,0.62,0.493,3.0,1.9,17.1,No,No,Middle,0.0,Yes,Salle 20,130.0,0.5388888888888889,0.28351548383614633,0.49140000000000006,1.0,0,0,1,0,False,False,False,False,False,False
ENSPD004448,Female,19.0,1,0.8304821150855365,11.0,0.5167037861915368,0.6829999999999999,0.5479999999999999,0.0,2.9,12.0,Yes,No,Middle,0.0,Yes,Salle 7,186.0,0.4097222222222222,0.40389671697869445,0.0,0.9860656366780134,0,0,1,1,False,False,False,False,True,False
ENSPD004534,Male,21.0,2,0.7449455676516329,16.0,0.6113585746102449,0.685,0.443,0.0,3.4,12.5,Yes,Yes,Low,1.0,Yes,Salle 26,231.0,0.5041666666666667,0.31088909730446224,0.0,0.9860656366780134,1,1,1,1,False,False,False,False,True,False
ENSPD003035,Male,23.0,4,0.5536547433903577,29.0,0.7761692650334077,0.616,0.153,0.0,11.8,50.0,Yes,No,Middle,1.0,No,Salle 4,70.0,0.21944444444444444,0.4486660840880031,0.0,0.0,1,0,0,1,False,True,False,False,False,False
ENSPD004762,Other,23.0,5,0.52099533437014,31.0,0.6113585746102449,0.48700000000000004,0.872,2.0,1.4,31.1,Yes,No,Middle,2.0,Yes,Salle 15,40.0,0.6291666666666667,0.1823392667339698,0.2768,0.0,2,0,1,1,False,True,False,False,False,False
ENSPD003097,Female,17.0,1,0.6609642301710731,22.0,0.5957683741648108,0.59,0.436,1.0,1.6,13.0,Yes,No,Low,0.0,No,Salle 23,83.0,0.37083333333333335,0.36366445263485536,0.1564,0.0,0,0,0,1,False,True,False,False,False,False
ENSPD000445,Female,21.0,3,0.9284603421461898,5.0,0.6124721603563474,0.443,0.7000000000000001,0.0,4.0,19.8,Yes,No,Middle,1.0,Yes,Salle 27,212.0,0.42361111111111116,0.4318433544913919,0.0,0.9860656366780134,0,0,1,1,False,False,False,False,True,False
ENSPD004889,Male,22.0,2,0.9999999999999999,0.0,0.5378619153674833,0.46799999999999997,0.7540000000000001,2.0,4.4,24.0,No,No,Middle,1.0,Yes,Salle 1,71.0,0.4555555555555555,0.43483160122998443,0.4,0.0,1,0,1,0,False,True,False,False,False,False
ENSPD001655,Male,23.0,3,0.5520995334370139,29.0,0.9654788418708242,0.579,0.488,1.0,0.1,3.4,No,No,Low,0.0,Yes,Salle 25,263.0,0.5847222222222221,0.20842972633964083,0.1424,0.5818364233587374,1,0,1,0,False,False,False,True,False,False
ENSPD000010,Female,20.0,3,0.500777604976672,32.0,0.6135857461024499,0.657,1.0,1.0,0.9,16.6,Yes,No,Middle,1.0,Yes,Salle 17,263.0,0.6930555555555555,0.1558512095660425,0.1358,0.5818364233587374,0,0,1,1,False,False,False,True,False,False
ENSPD002754,Male,20.0,3,0.7947122861586314,13.0,0.6380846325167038,0.559,0.9440000000000001,5.0,1.0,6.6,No,Yes,Middle,1.0,Yes,Salle 26,188.0,0.6666666666666667,0.2503488932190392,0.868,0.900740336465212,1,1,1,0,True,False,False,False,False,False
ENSPD000162,Female,24.0,2,0.6920684292379472,20.0,0.7928730512249444,0.46799999999999997,0.8740000000000001,1.0,1.4,5.4,No,Yes,Middle,0.0,Yes,Salle 16,185.0,0.6833333333333333,0.2140893018412924,0.16040000000000001,0.900740336465212,0,1,1,0,True,False,False,False,False,False
ENSPD002736,Female,20.0,1,0.9999999999999999,0.0,0.643652561247216,0.654,0.11,0.0,0.1,3.4,No,No,Middle,1.0,Yes,Salle 5,121.0,0.27083333333333337,0.6159258587506576,0.0,0.7508690441401171,0,0,1,0,False,False,False,False,False,True
ENSPD003151,Female,19.0,1,0.5909797822706065,26.0,0.7973273942093541,0.574,0.12300000000000001,2.0,1.4,15.1,No,Yes,Middle,1.0,Yes,Salle 6,248.0,0.22222222222222232,0.4655631209198282,0.2948,0.5818364233587374,0,1,1,0,False,False,False,True,False,False
ENSPD004083,Female,17.0,2,0.8398133748055988,10.0,0.6547884187082406,0.68,0.635,0.0,2.8,21.2,Yes,No,Low,1.0,Yes,Salle 8,71.0,0.6375,0.27607609545484835,0.0,0.0,0,0,1,1,False,True,False,False,False,False
ENSPD004190,Female,23.0,3,0.4447900466562985,36.0,0.5924276169265034,0.612,0.391,1.0,2.2,13.4,Yes,Yes,Middle,0.0,No,Salle 30,130.0,0.4041666666666667,0.2537168850896606,0.1286,1.0,0,1,0,1,False,False,False,False,False,False
ENSPD003588,Female,18.0,4,0.41057542768273714,38.0,0.7093541202672606,0.642,0.21300000000000002,2.0,2.1,11.5,No,No,Low,1.0,Yes,Salle 29,230.0,0.3680555555555556,0.2602454104445764,0.2484,0.5818364233587374,0,0,1,0,False,False,False,True,False,False
ENSPD004561,Female,26.0,4,0.7309486780715396,17.0,0.7316258351893097,0.365,0.851,0.0,0.0,5.2,Yes,Yes,Middle,0.0,Yes,Salle 5,178.0,0.5986111111111111,0.25954981136237365,0.0,0.9860656366780134,0,1,1,1,False,False,False,False,True,False
ENSPD003661,Male,23.0,4,0.8040435458786938,18.0,0.4142538975501113,0.5479999999999999,0.635,1.0,1.4,16.6,Yes,Yes,Middle,1.0,Yes,Salle 26,70.0,0.5569444444444444,0.30297231393933644,0.1748,0.0,1,1,1,1,False,True,False,False,False,False
ENSPD000296,Male,21.0,2,0.838258164852255,10.0,0.23942093541202675,0.745,0.414,0.0,0.7,10.8,No,No,Low,0.0,Yes,Salle 14,298.0,0.3222222222222222,0.48214616133732857,0.0,0.5818364233587374,1,0,1,0,False,False,False,True,False,False
ENSPD001501,Male,20.0,3,0.8164852255054432,12.0,0.9142538975501113,0.43200000000000005,0.36700000000000005,5.0,1.2,9.6,Yes,No,Low,0.0,No,Salle 13,263.0,0.37222222222222223,0.42776166745341604,0.882,0.5818364233587374,1,0,0,1,False,False,False,True,False,False
ENSPD004488,Male,21.0,4,0.7993779160186624,13.0,0.5879732739420935,0.8520000000000001,0.272,1.0,1.6,13.2,Yes,No,Middle,1.0,Yes,Salle 19,178.0,0.4986111111111111,0.33326720043281677,0.1742,0.9860656366780134,1,0,1,1,False,False,False,False,True,False
ENSPD004674,Male,20.0,1,0.41990668740279935,37.0,0.5645879732739421,0.99,0.337,1.0,0.9,7.3,No,No,Middle,0.0,No,Salle 14,248.0,0.4388888888888889,0.22594909958106776,0.1254,0.5818364233587374,1,0,0,0,False,False,False,True,False,False
ENSPD003239,Female,23.0,2,0.7045101088646967,19.0,0.6035634743875279,0.638,0.888,0.0,1.8,14.7,Yes,Yes,Low,1.0,Yes,Salle 14,119.0,0.7458333333333333,0.19637116519441608,0.0,1.0,0,1,1,1,False,False,False,False,False,False
ENSPD001078,Female,23.0,5,0.6827371695178849,20.0,0.6447661469933185,0.589,0.6990000000000001,0.0,1.4,11.5,Yes,No,Middle,0.0,No,Salle 13,67.0,0.5791666666666667,0.2527586293689885,0.0,0.9860656366780134,0,0,0,1,False,False,False,False,True,False
ENSPD002130,Male,19.0,3,0.5396578538102644,30.0,0.5033407572383074,0.6920000000000001,0.766,1.0,1.4,8.3,No,Yes,Low,0.0,Yes,Salle 23,188.0,0.5819444444444444,0.20551928731894079,0.1408,0.900740336465212,1,1,1,0,True,False,False,False,False,False
ENSPD000906,Female,21.0,4,0.5863141524105754,27.0,1.0,0.5910000000000001,0.67,1.0,1.0,15.4,No,No,Middle,3.0,Yes,Salle 2,230.0,0.65,0.19482638459581966,0.1468,0.5818364233587374,0,0,1,0,False,False,False,True,False,False
ENSPD001160,Male,23.0,4,0.7729393468118196,15.0,0.8173719376391981,1.0,0.716,1.0,1.4,14.1,No,No,Middle,0.0,No,Salle 27,121.0,0.8111111111111109,0.194174302502526,0.1708,0.7508690441401171,1,0,0,0,False,False,False,False,False,True
ENSPD003083,Male,24.0,4,0.9999999999999999,0.0,0.334075723830735,0.7020000000000001,0.396,0.0,8.0,40.7,No,No,Middle,1.0,Yes,Salle 24,173.0,0.3472222222222222,0.5289183560137006,0.0,0.6476742668343078,1,0,1,0,False,False,True,False,False,False
ENSPD004093,Male,21.0,3,0.9999999999999999,0.0,0.6258351893095769,0.655,0.42700000000000005,2.0,0.6,7.1,Yes,Yes,Middle,0.0,Yes,Salle 29,188.0,0.4916666666666667,0.40903534555561016,0.4,0.900740336465212,1,1,1,1,True,False,False,False,False,False
ENSPD002641,Male,21.0,3,0.9999999999999999,0.0,0.7015590200445435,0.319,0.614,1.0,0.4,3.8,No,No,Middle,1.0,Yes,Salle 20,104.0,0.4652777777777778,0.4276537257604969,0.2,0.0,1,0,1,0,False,True,False,False,False,False
ENSPD001713,Female,20.0,4,0.42923794712286145,37.0,0.5868596881959911,0.684,0.237,1.0,0.2,4.3,No,No,Middle,1.0,No,Salle 30,230.0,0.29027777777777775,0.32076486327515485,0.1266,0.5818364233587374,0,0,0,0,False,False,False,True,False,False
ENSPD004011,Male,21.0,4,0.48522550544323495,33.0,0.6113585746102449,0.762,0.635,0.0,1.4,5.9,Yes,No,Middle,1.0,Yes,Salle 24,157.0,0.6097222222222222,0.17804162647617452,0.0,0.900740336465212,1,0,1,1,True,False,False,False,False,False
ENSPD002039,Male,20.0,1,0.3188180404354588,44.0,0.9120267260579065,0.49600000000000005,0.536,2.0,0.1,15.7,Yes,No,Middle,1.0,Yes,Salle 18,186.0,0.5277777777777778,0.152411712190434,0.22480000000000003,0.9860656366780134,1,0,1,1,False,False,False,False,True,False
ENSPD001182,Male,22.0,1,0.5396578538102644,30.0,0.7895322939866369,0.794,0.624,1.0,0.7,11.5,Yes,Yes,Low,1.0,No,Salle 11,143.0,0.5958333333333332,0.2001925755429739,0.1408,0.900740336465212,1,1,0,1,True,False,False,False,False,False
ENSPD003529,Female,24.0,2,0.4976671850699844,32.0,0.7126948775055679,0.8150000000000001,0.264,0.0,0.7,16.5,Yes,No,Middle,0.0,Yes,Salle 6,161.0,0.39583333333333337,0.2797744630085186,0.0,0.7508690441401171,0,0,1,1,False,False,False,False,False,True
ENSPD001183,Female,23.0,3,0.7993779160186624,13.0,0.6158129175946548,0.5660000000000001,0.7440000000000001,1.0,6.7,29.3,Yes,No,Low,0.0,No,Salle 13,212.0,0.6625000000000001,0.25340607411824523,0.1742,0.9860656366780134,0,0,0,1,False,False,False,False,True,False
ENSPD004946,Female,22.0,4,0.5287713841368585,30.0,0.5723830734966593,0.373,0.478,3.0,2.9,16.5,No,No,Low,0.0,Yes,Salle 19,157.0,0.22777777777777786,0.4264921711513101,0.41820000000000007,0.900740336465212,0,0,1,0,True,False,False,False,False,False
ENSPD004485,Male,24.0,4,0.6796267496111975,21.0,0.40089086859688206,1.0,0.871,1.0,2.6,14.0,No,Yes,Middle,4.0,Yes,Salle 27,230.0,0.7152777777777779,0.19949757709180663,0.15880000000000002,0.5818364233587374,1,1,1,0,False,False,False,True,False,False
ENSPD003975,Male,21.0,3,0.8491446345256609,10.0,0.7360801781737194,0.584,0.5870000000000001,0.0,0.1,10.6,Yes,No,Middle,0.0,Yes,Salle 29,154.0,0.5152777777777777,0.3409964033338504,0.0,0.7508690441401171,1,0,1,1,False,False,False,False,False,True
ENSPD001920,Male,24.0,2,0.864696734059098,9.0,0.6503340757238307,0.927,0.625,1.0,4.3,15.3,Yes,Yes,Middle,0.0,Yes,Salle 2,298.0,0.6180555555555556,0.29251117705509966,0.18259999999999998,0.5818364233587374,1,1,1,1,False,False,False,True,False,False
ENSPD000278,Female,18.0,4,0.76049766718507,15.0,0.25501113585746105,0.49600000000000005,0.605,2.0,6.7,30.8,Yes,No,Middle,1.0,Yes,Salle 22,157.0,0.37777777777777777,0.3999471094520912,0.3384,0.900740336465212,0,0,1,1,True,False,False,False,False,False
ENSPD000669,Male,22.0,1,0.7620528771384137,15.0,0.48106904231625836,0.9990000000000001,0.528,1.0,0.1,0.0,Yes,No,Low,1.0,No,Salle 14,248.0,0.6097222222222222,0.26441234585615336,0.16940000000000002,0.5818364233587374,1,0,0,1,False,False,False,True,False,False
ENSPD002224,Male,21.0,3,0.5085536547433903,32.0,0.46659242761692654,0.564,0.551,1.0,1.5,4.2,Yes,No,High,0.0,No,Salle 30,188.0,0.4,0.2816976687847753,0.1368,0.900740336465212,1,0,0,1,True,False,False,False,False,False
ENSPD001204,Male,22.0,3,0.7791601866251944,14.0,0.7015590200445435,0.473,0.379,2.0,0.7,1.1,No,Yes,Low,1.0,No,Salle 8,188.0,0.3555555555555555,0.42587218394077275,0.3432,0.900740336465212,1,1,0,0,True,False,False,False,False,False
ENSPD003145,Male,22.0,4,0.948678071539658,3.0,0.7405345211581292,0.541,0.39,0.0,2.2,14.6,Yes,No,Middle,0.0,Yes,Salle 5,178.0,0.4527777777777777,0.41766026736242245,0.0,0.9860656366780134,1,0,1,1,False,False,False,False,True,False
ENSPD002533,Male,18.0,2,0.9999999999999999,0.0,0.7193763919821826,0.925,0.294,1.0,0.9,11.7,No,No,Low,0.0,Yes,Salle 9,231.0,0.45000000000000007,0.43901439195660175,0.2,0.9860656366780134,1,0,1,0,False,False,False,False,True,False
ENSPD002379,Male,24.0,2,0.7713841368584758,15.0,0.7160356347438753,0.637,0.63,3.0,0.2,2.9,No,No,Low,0.0,Yes,Salle 26,71.0,0.5944444444444444,0.2742220529203063,0.5117999999999999,0.0,1,0,1,0,False,True,False,False,False,False
ENSPD001408,Female,22.0,3,0.6780715396578537,21.0,0.5100222717149221,0.8540000000000001,0.7220000000000001,0.0,2.3,17.2,No,No,Middle,2.0,Yes,Salle 13,212.0,0.5791666666666667,0.25125359779722245,0.0,0.9860656366780134,0,0,1,0,False,False,False,False,True,False
