student_id,gender,age,filiere,year_of_study,attendance_rate,num_absences,assignments_avg,midterm_score,final_score,project_participation,lab_hours_per_week,infra_usage_hours_month,supervisor_assigned,scholarship,socioeconomic_status,extracurricular_count,lab_access,classroom_allocated,promotion_size,overall_grade,passed
ENSPD000049,Male,19.0,Energetique,3,83.5,16.0,75.2,73.6,79.6,1.0,4.0,21.0,Yes,Yes,Low,1.0,Yes,Salle 30,104.0,72.8,1.0
ENSPD000050,Male,21.0,Mecanique,4,72.2,28.0,81.4,62.1,35.4,0.0,1.1,7.1,No,Yes,Low,1.0,Yes,Salle 23,178.0,59.2,1.0
ENSPD000051,Female,18.0,Chimie,2,56.2,44.0,72.9,62.8,73.0,1.0,3.0,13.6,No,No,Middle,0.0,Yes,Salle 18,119.0,66.8,1.0
ENSPD000052,Female,24.0,GenieCivil,2,94.0,6.0,35.7,60.9,63.5,2.0,1.4,9.1,Yes,No,Middle,1.0,Yes,Salle 8,177.0,50.2,1.0
ENSPD000053,Female,18.0,Telecom,1,64.0,36.0,65.1,41.8,26.8,1.0,1.1,8.2,No,No,Middle,0.0,Yes,Salle 12,121.0,38.2,0.0
ENSPD000054,Female,22.0,GenieCivil,1,83.3,17.0,62.6,34.7,44.4,1.0,0.3,4.0,Yes,No,Low,0.0,Yes,Salle 6,149.0,47.7,0.0
ENSPD000055,Female,18.0,Chimie,1,86.0,14.0,67.2,69.0,64.6,1.0,6.0,30.8,No,No,Middle,1.0,No,Salle 13,96.0,69.7,1.0
ENSPD000056,Female,21.0,GenieCivil,3,85.9,14.0,77.9,65.4,91.9,2.0,0.4,3.8,No,No,Middle,1.0,No,Salle 29,185.0,78.9,1.0
ENSPD000057,Male,25.0,Mecanique,3,78.6,21.0,65.6,78.9,82.3,1.0,1.1,7.1,Yes,Yes,Middle,1.0,No,Salle 24,212.0,72.7,1.0
ENSPD000058,Male,23.0,Informatique,5,85.3,15.0,65.8,75.2,58.1,1.0,1.4,6.0,Yes,No,Middle,2.0,Yes,Salle 26,109.0,66.2,1.0
ENSPD000059,Male,20.0,GenieCivil,1,87.7,12.0,68.6,47.4,83.4,2.0,5.1,23.5,No,No,Middle,1.0,No,Salle 23,149.0,66.1,1.0
ENSPD000060,Male,22.0,Chimie,3,90.8,9.0,61.2,82.4,56.9,0.0,1.4,18.7,No,No,Low,1.0,No,Salle 23,130.0,60.0,1.0
ENSPD000061,Male,22.0,Electrique,3,100.0,0.0,66.3,61.6,34.7,1.0,6.6,33.5,Yes,No,Low,0.0,Yes,Salle 11,188.0,55.2,1.0
ENSPD000062,Male,23.0,Electrique,3,84.8,15.0,81.9,74.4,64.4,1.0,0.1,5.9,Yes,Yes,Middle,3.0,Yes,Salle 8,188.0,71.1,1.0
ENSPD000063,Female,19.0,Mecanique,4,82.8,17.0,63.7,61.6,33.9,2.0,0.4,12.2,Yes,No,High,1.0,Yes,Salle 25,178.0,65.5,1.0
ENSPD000064,Male,23.0,GenieCivil,1,71.1,29.0,64.5,98.8,79.8,2.0,1.0,9.3,No,No,Low,1.0,Yes,Salle 24,149.0,78.4,1.0
ENSPD000065,Male,17.0,Informatique,1,87.2,13.0,64.5,74.4,80.1,2.0,1.9,16.9,Yes,No,Low,1.0,Yes,Salle 21,248.0,73.0,1.0
ENSPD000066,Male,21.0,Telecom,3,90.0,10.0,84.5,72.2,46.4,2.0,0.8,4.2,Yes,No,High,1.0,Yes,Salle 19,154.0,68.4,1.0
ENSPD000067,Male,21.0,Energetique,2,82.2,20.0,48.4,81.5,66.9,0.0,2.5,12.5,Yes,No,Low,0.0,No,Salle 14,71.0,64.0,1.0
ENSPD000068,Female,23.0,GenieCivil,1,88.5,12.0,91.6,51.5,66.7,1.0,0.4,2.8,No,No,Middle,1.0,Yes,Salle 25,149.0,66.9,1.0
ENSPD000069,Male,22.0,Informatique,2,78.5,22.0,47.4,51.7,81.4,1.0,1.8,14.2,Yes,No,Middle,2.0,Yes,Salle 24,298.0,63.5,1.0
ENSPD000070,Other,19.0,Informatique,2,90.1,10.0,55.2,74.1,39.1,3.0,1.0,2.8,No,No,Middle,2.0,Yes,Salle 14,298.0,52.7,1.0
ENSPD000071,Female,20.0,Electrique,3,93.0,7.0,76.2,61.6,76.0,2.0,1.4,11.9,Yes,No,Middle,0.0,Yes,Salle 12,188.0,71.3,1.0
ENSPD000072,Male,22.0,Electrique,1,82.2,7.0,80.5,72.7,37.7,1.0,1.7,9.8,Yes,Yes,Low,2.0,Yes,Salle 26,143.0,58.3,1.0
ENSPD000073,Male,22.0,Chimie,2,83.4,17.0,43.9,64.8,79.5,0.0,0.1,5.9,Yes,No,Middle,1.0,Yes,Salle 30,119.0,62.6,1.0
ENSPD000074,Female,21.0,Mecanique,3,69.5,30.0,48.6,61.6,85.3,3.0,5.2,11.5,Yes,No,Middle,1.0,Yes,Salle 22,212.0,59.5,1.0
ENSPD000075,Female,21.0,Chimie,2,74.7,25.0,65.1,62.5,50.6,0.0,1.4,19.6,No,No,Low,2.0,Yes,Salle 18,119.0,56.2,1.0
ENSPD000076,Female,23.0,Electrique,5,89.1,11.0,100.0,85.5,88.4,1.0,1.2,18.7,No,No,Middle,0.0,No,Salle 3,80.0,88.2,0.0
ENSPD000077,Female,21.0,Mecanique,1,100.0,0.0,83.7,63.5,32.5,0.0,1.6,19.5,Yes,No,High,1.0,No,Salle 17,186.0,54.6,1.0
ENSPD000078,Male,22.0,GenieCivil,5,77.9,22.0,61.3,63.6,63.5,0.0,0.1,11.5,No,No,Low,1.0,No,Salle 7,70.0,77.1,1.0
ENSPD000079,Male,26.0,Informatique,3,87.5,12.0,28.7,67.9,92.8,1.0,1.4,9.2,Yes,No,Middle,1.0,Yes,Salle 24,263.0,67.6,1.0
ENSPD000080,Male,19.0,GenieCivil,4,75.3,25.0,66.2,70.3,70.9,1.0,1.1,10.2,Yes,Yes,Middle,0.0,Yes,Salle 10,173.0,68.8,1.0
ENSPD000081,Female,18.0,Telecom,2,70.3,30.0,70.4,56.0,60.1,1.0,0.9,7.0,Yes,No,Middle,0.0,Yes,Salle 23,161.0,66.8,1.0
ENSPD000082,Female,24.0,GenieCivil,2,73.9,26.0,59.3,68.3,70.2,0.0,3.4,15.7,No,Yes,Middle,2.0,Yes,Salle 26,177.0,65.1,1.0
ENSPD000083,Male,21.0,Telecom,4,57.0,43.0,52.2,43.1,51.9,0.0,0.4,0.0,Yes,No,Middle,1.0,Yes,Salle 23,121.0,45.6,0.0
ENSPD000084,Male,21.0,Electrique,4,98.2,2.0,67.4,47.6,100.0,0.0,1.4,5.7,Yes,No,Middle,0.0,Yes,Salle 5,157.0,74.7,1.0
ENSPD000085,Male,20.0,Informatique,2,55.2,45.0,50.9,49.9,52.3,2.0,1.4,12.1,Yes,No,Middle,0.0,No,Salle 9,298.0,51.0,1.0
ENSPD000086,Male,21.0,Electrique,1,78.8,21.0,93.1,70.5,90.3,3.0,2.3,16.6,No,Yes,Low,1.0,No,Salle 2,143.0,74.8,1.0
ENSPD000087,Female,25.0,GenieCivil,3,67.9,32.0,87.8,64.9,49.2,1.0,0.0,5.5,No,No,Middle,1.0,Yes,Salle 16,185.0,65.3,1.0
ENSPD000088,Female,24.0,Mecanique,4,71.4,29.0,74.9,59.6,95.9,0.0,1.6,8.6,Yes,No,Middle,1.0,Yes,Salle 5,178.0,82.2,1.0
ENSPD000089,Female,24.0,Informatique,2,98.5,2.0,66.3,74.4,100.0,1.0,0.7,5.8,No,No,Middle,1.0,Yes,Salle 8,298.0,78.1,1.0
ENSPD000090,Male,19.0,GenieCivil,3,84.4,16.0,55.1,68.8,71.7,1.0,1.4,19.9,No,No,Middle,2.0,Yes,Salle 8,185.0,61.5,1.0
ENSPD000091,Male,20.0,Informatique,3,70.4,30.0,64.7,56.8,69.7,1.0,1.3,3.4,Yes,No,Middle,2.0,Yes,Salle 15,263.0,59.3,1.0
ENSPD000092,Female,17.0,Informatique,4,74.9,25.0,89.6,43.4,44.9,1.0,3.6,17.4,No,No,Middle,2.0,No,Salle 26,230.0,55.4,1.0
ENSPD000093,Female,20.0,GenieCivil,3,72.8,27.0,65.1,47.2,42.5,1.0,1.0,9.1,Yes,No,Middle,1.0,No,Salle 25,185.0,53.9,1.0
ENSPD000094,Male,24.0,Mecanique,2,81.5,18.0,68.1,35.6,63.5,2.0,3.5,17.4,No,No,Middle,1.0,Yes,Salle 18,231.0,57.4,1.0
ENSPD000095,Female,23.0,Telecom,5,82.2,16.0,78.9,64.5,93.2,0.0,2.5,8.9,Yes,No,Low,1.0,Yes,Salle 12,60.0,82.7,1.0
ENSPD000096,Male,22.0,Mecanique,3,100.0,0.0,73.2,46.5,53.0,4.0,3.5,22.7,Yes,No,Middle,0.0,Yes,Salle 16,212.0,59.8,1.0
ENSPD000097,Male,22.0,Chimie,4,59.0,41.0,70.9,53.1,100.0,1.0,3.3,22.9,No,No,Middle,1.0,Yes,Salle 28,93.0,75.0,1.0
ENSPD000098,Male,21.0,GenieCivil,2,82.2,18.0,79.7,61.6,51.8,1.0,1.3,6.3,Yes,No,Middle,2.0,Yes,Salle 28,177.0,60.7,1.0
ENSPD000099,Male,22.0,Electrique,3,78.2,22.0,72.8,80.8,68.6,1.0,0.9,0.0,Yes,No,Middle,1.0,Yes,Salle 28,188.0,68.1,1.0
ENSPD000100,Male,24.0,Mecanique,2,93.4,7.0,77.9,78.7,68.6,1.0,2.9,24.6,No,No,Middle,1.0,No,Salle 24,231.0,73.5,1.0
ENSPD000101,Male,19.0,Energetique,2,86.3,14.0,67.4,61.0,62.0,1.0,0.9,6.9,Yes,No,Middle,0.0,Yes,Salle 6,71.0,68.0,1.0
ENSPD000102,Female,23.0,GenieCivil,4,89.1,11.0,61.2,84.8,23.1,2.0,0.2,1.9,No,No,Middle,0.0,No,Salle 3,173.0,43.7,0.0
ENSPD000103,Male,24.0,Telecom,3,86.1,14.0,56.8,25.8,51.6,2.0,3.9,20.2,Yes,No,Middle,2.0,No,Salle 23,154.0,46.9,0.0
ENSPD000104,Male,21.0,Mecanique,3,70.8,29.0,55.0,95.8,68.0,1.0,1.0,10.3,Yes,No,Middle,1.0,Yes,Salle 18,212.0,68.8,1.0
ENSPD000105,Female,23.0,Informatique,2,96.5,4.0,40.9,74.5,62.1,2.0,0.3,3.7,Yes,No,Middle,1.0,Yes,Salle 2,298.0,65.0,1.0
ENSPD000106,Male,28.0,Electrique,3,82.2,8.0,65.1,63.9,76.7,2.0,2.1,13.9,No,No,Middle,0.0,Yes,Salle 26,188.0,63.8,1.0
ENSPD000107,Male,22.0,Informatique,2,93.0,7.0,50.9,46.0,79.1,4.0,1.4,22.1,No,No,Middle,1.0,No,Salle 18,298.0,65.4,1.0
ENSPD000108,Female,23.0,GenieCivil,3,97.2,3.0,57.4,54.1,59.2,2.0,3.9,17.8,Yes,No,Middle,1.0,Yes,Salle 29,185.0,57.1,1.0
ENSPD000109,Male,21.0,Informatique,2,87.0,13.0,88.4,73.0,44.8,0.0,1.6,11.5,No,No,Middle,1.0,Yes,Salle 3,298.0,60.4,1.0
ENSPD000110,Male,22.0,Electrique,4,99.8,0.0,62.6,73.4,95.0,0.0,0.2,11.5,Yes,No,Low,1.0,Yes,Salle 7,157.0,81.5,1.0
ENSPD000111,Male,23.0,Energetique,4,86.5,14.0,68.6,74.0,36.9,1.0,2.4,16.9,Yes,Yes,Middle,1.0,Yes,Salle 2,70.0,58.7,1.0
ENSPD000112,Male,22.0,GenieCivil,2,79.4,21.0,69.1,48.9,52.1,0.0,1.9,9.5,Yes,Yes,Middle,1.0,Yes,Salle 29,177.0,51.9,1.0
ENSPD000113,Female,20.0,Telecom,2,81.9,18.0,88.8,45.3,47.0,2.0,0.5,8.6,No,No,Middle,0.0,No,Salle 22,161.0,56.3,1.0
ENSPD000114,Female,22.0,GenieCivil,3,81.7,18.0,56.4,65.5,78.9,0.0,4.6,19.9,Yes,No,Middle,1.0,No,Salle 27,185.0,61.2,1.0
ENSPD000115,Female,25.0,GenieCivil,3,75.8,24.0,61.7,75.9,90.3,0.0,0.2,5.6,No,No,Middle,3.0,Yes,Salle 13,185.0,77.6,1.0
ENSPD000116,Female,23.0,Energetique,3,100.0,0.0,63.4,62.1,60.5,0.0,0.9,11.0,No,No,Middle,0.0,Yes,Salle 8,104.0,62.8,1.0
ENSPD000117,Female,24.0,Telecom,3,85.6,14.0,82.0,88.7,68.6,2.0,1.4,7.7,No,No,Middle,1.0,Yes,Salle 28,154.0,78.4,1.0
ENSPD000118,Male,22.0,Chimie,2,83.1,17.0,85.2,62.6,72.6,0.0,4.9,23.0,Yes,Yes,High,0.0,Yes,Salle 24,119.0,74.5,1.0
ENSPD000119,Female,23.0,Mecanique,2,86.7,13.0,72.1,62.0,63.5,1.0,0.1,8.7,No,No,Low,2.0,Yes,Salle 20,231.0,76.5,1.0
ENSPD000120,Male,23.0,GenieCivil,2,100.0,0.0,83.5,74.1,28.5,0.0,1.1,9.4,Yes,No,Middle,1.0,Yes,Salle 5,177.0,57.2,1.0
ENSPD000121,Female,20.0,Mecanique,1,68.4,32.0,67.7,83.9,78.9,1.0,4.0,18.9,No,Yes,Middle,1.0,Yes,Salle 2,186.0,76.4,1.0
ENSPD000122,Female,23.0,GenieCivil,3,71.9,28.0,62.4,37.7,71.5,1.0,0.6,14.1,No,No,Middle,1.0,Yes,Salle 27,185.0,56.5,1.0
ENSPD000123,Male,20.0,GenieCivil,1,65.4,35.0,82.7,41.9,56.6,1.0,0.2,1.3,No,No,Low,1.0,Yes,Salle 17,149.0,61.5,1.0
ENSPD000124,Male,21.0,Telecom,5,79.2,21.0,72.3,56.4,70.5,1.0,0.3,7.8,Yes,No,High,1.0,Yes,Salle 16,60.0,62.9,1.0
ENSPD000125,Male,22.0,Telecom,4,84.9,15.0,54.0,100.0,78.8,0.0,1.0,14.7,Yes,No,Middle,0.0,Yes,Salle 21,121.0,74.4,1.0
ENSPD000126,Male,23.0,GenieCivil,4,76.4,24.0,80.0,57.3,75.7,1.0,1.1,2.6,No,No,Middle,1.0,Yes,Salle 15,173.0,71.1,1.0
ENSPD000127,Female,20.0,Informatique,4,75.5,24.0,61.9,59.8,100.0,3.0,2.5,21.5,No,No,Middle,5.0,Yes,Salle 13,230.0,78.9,1.0
ENSPD000128,Female,24.0,Telecom,2,83.7,16.0,60.0,73.1,66.5,1.0,0.5,13.8,Yes,No,Middle,2.0,Yes,Salle 16,161.0,67.7,1.0
ENSPD000129,Male,23.0,Informatique,4,76.0,24.0,78.4,79.6,64.5,1.0,2.4,12.7,Yes,No,Middle,1.0,No,Salle 29,230.0,76.9,1.0
ENSPD000130,Male,21.0,Electrique,1,85.7,14.0,63.7,65.1,60.4,1.0,13.8,61.4,Yes,No,High,0.0,Yes,Salle 10,143.0,64.2,1.0
ENSPD000131,Male,19.0,Informatique,1,95.4,5.0,70.8,83.0,75.1,0.0,1.4,18.1,Yes,No,Low,1.0,Yes,Salle 29,248.0,74.3,1.0
ENSPD000132,Male,22.0,Mecanique,4,90.1,10.0,74.9,40.5,63.4,1.0,2.0,9.7,Yes,Yes,Middle,1.0,Yes,Salle 25,178.0,58.0,1.0
ENSPD000133,Male,21.0,Energetique,1,92.6,7.0,53.3,48.2,64.3,1.0,5.6,22.9,Yes,Yes,Middle,0.0,Yes,Salle 4,83.0,55.7,1.0
ENSPD000134,Male,22.0,Informatique,5,82.2,5.0,70.8,82.9,64.4,2.0,9.4,49.4,No,Yes,Middle,2.0,No,Salle 12,109.0,70.8,1.0
ENSPD000135,Female,21.0,GenieCivil,3,85.4,15.0,85.2,62.2,61.3,1.0,1.7,10.9,No,No,Middle,3.0,Yes,Salle 15,185.0,67.9,1.0
ENSPD000136,Male,18.0,Mecanique,4,80.1,20.0,50.7,39.3,51.8,0.0,0.6,1.9,Yes,No,Middle,1.0,Yes,Salle 11,178.0,47.9,0.0
ENSPD000137,Male,21.0,Telecom,2,72.7,27.0,71.7,38.2,72.4,2.0,4.9,28.8,No,No,High,2.0,Yes,Salle 11,161.0,60.8,1.0
ENSPD000138,Female,21.0,Telecom,3,77.3,23.0,52.6,47.4,58.3,0.0,3.7,22.5,No,No,Middle,1.0,Yes,Salle 28,154.0,57.9,1.0
ENSPD000139,Male,23.0,Mecanique,1,75.7,24.0,80.3,62.0,76.3,1.0,0.2,7.3,Yes,No,Middle,3.0,Yes,Salle 17,186.0,74.9,1.0
ENSPD000140,Female,21.0,Informatique,4,90.8,9.0,80.2,70.4,66.2,1.0,5.5,24.4,No,No,Middle,2.0,Yes,Salle 1,230.0,73.0,1.0
ENSPD000141,Female,25.0,Electrique,1,86.2,14.0,59.7,56.1,56.3,1.0,0.9,7.0,No,No,Middle,1.0,Yes,Salle 26,143.0,57.5,1.0
ENSPD000142,Male,18.0,Mecanique,3,90.4,10.0,98.1,68.9,95.3,1.0,0.8,16.5,Yes,Yes,Middle,0.0,Yes,Salle 12,212.0,84.8,1.0
ENSPD000143,Male,25.0,Electrique,2,68.1,32.0,81.6,54.1,62.0,1.0,1.4,9.7,Yes,No,Low,3.0,Yes,Salle 20,185.0,60.9,1.0
ENSPD000144,Male,22.0,Informatique,1,99.2,1.0,75.6,84.0,63.5,0.0,0.8,6.1,Yes,No,Middle,1.0,Yes,Salle 27,248.0,76.0,1.0
ENSPD000145,Male,24.0,Informatique,3,76.9,23.0,74.8,100.0,50.0,3.0,1.5,14.0,Yes,No,Low,2.0,Yes,Salle 18,263.0,66.1,1.0
ENSPD000146,Male,22.0,Electrique,1,68.8,31.0,79.8,54.9,23.5,1.0,1.7,15.2,No,No,Middle,1.0,Yes,Salle 20,143.0,44.6,0.0
ENSPD000147,Female,24.0,Informatique,4,76.7,23.0,50.1,70.6,52.7,1.0,1.1,16.7,Yes,No,Low,1.0,Yes,Salle 3,230.0,63.3,1.0
ENSPD000148,Male,21.0,Telecom,2,100.0,0.0,67.9,69.2,21.3,0.0,1.1,9.7,No,Yes,Middle,2.0,No,Salle 27,161.0,53.2,1.0
ENSPD000149,Male,20.0,Informatique,2,77.3,23.0,70.7,64.5,59.3,0.0,1.4,18.7,No,No,High,1.0,Yes,Salle 14,298.0,63.0,1.0
ENSPD000150,Male,25.0,Informatique,3,78.1,22.0,59.0,73.8,93.4,2.0,0.0,7.1,No,No,Low,0.0,Yes,Salle 3,263.0,78.4,1.0
ENSPD000151,Female,22.0,Energetique,2,79.7,20.0,72.0,70.6,45.9,1.0,5.9,25.7,Yes,No,Middle,1.0,No,Salle 3,71.0,61.3,1.0
ENSPD000152,Male,22.0,GenieCivil,2,80.2,20.0,83.5,53.5,21.9,3.0,2.5,9.5,No,No,Low,1.0,Yes,Salle 17,177.0,44.7,0.0
ENSPD000153,Male,24.0,Electrique,4,72.6,27.0,58.7,85.7,94.0,1.0,2.5,17.5,No,No,Middle,2.0,Yes,Salle 7,157.0,71.3,1.0
ENSPD000154,Male,20.0,Informatique,1,83.7,16.0,64.2,65.6,54.5,1.0,1.1,12.2,Yes,No,Low,0.0,Yes,Salle 5,248.0,54.4,1.0
