student_id,gender,age,year_of_study,attendance_rate,num_absences,assignments_avg,midterm_score,final_score,project_participation,lab_hours_per_week,infra_usage_hours_month,supervisor_assigned,scholarship,socioeconomic_status,extracurricular_count,lab_access,classroom_allocated,promotion_size,overall_grade,passed,ratio_presence_note,participation_projets_ponderee,moyenne_filiere,gender_encoded,scholarship_encoded,lab_access_encoded,supervisor_assigned_encoded,filiere_Electrique,filiere_Energetique,filiere_GenieCivil,filiere_Informatique,filiere_Mecanique,filiere_Telecom
ENSPD000081,Female,18.0,2,0.5381026438569206,30.0,0.6703786191536749,0.56,0.601,1.0,0.9,7.0,Yes,No,Middle,0.0,Yes,Salle 23,161.0,0.6055555555555555,1.0,0.1960713613754345,0.1406,61.59497568881685,0,0,1,1,False,False,False,False,False,True
ENSPD000082,Female,24.0,2,0.5940902021772939,26.0,0.5467706013363028,0.6829999999999999,0.7020000000000001,0.0,3.4,15.7,No,Yes,Middle,2.0,Yes,Salle 26,177.0,0.5819444444444444,1.0,0.22302404521389615,0.0,61.453713527851455,0,1,1,0,False,False,True,False,False,False
ENSPD000083,Male,21.0,4,0.3312597200622084,43.0,0.46770601336302897,0.43100000000000005,0.519,0.0,0.4,0.0,Yes,No,Middle,1.0,Yes,Salle 23,121.0,0.3111111111111111,0.0,0.2604091799838877,0.0,61.59497568881685,1,0,1,1,False,False,False,False,False,True
ENSPD000084,Male,21.0,4,0.9720062208398134,2.0,0.6369710467706015,0.47600000000000003,1.0,0.0,1.4,5.7,Yes,No,Middle,0.0,Yes,Salle 5,157.0,0.7152777777777779,1.0,0.28143952972291786,0.0,61.800132802124836,1,0,1,1,True,False,False,False,False,False
ENSPD000085,Male,20.0,2,0.30326594090202175,45.0,0.45322939866369716,0.499,0.523,2.0,1.4,12.1,Yes,No,Middle,0.0,No,Salle 9,298.0,0.38611111111111107,1.0,0.20582523786908527,0.22080000000000002,61.36358885017421,1,0,0,1,False,False,False,True,False,False
ENSPD000086,Male,21.0,1,0.6702954898911352,21.0,0.923162583518931,0.705,0.903,3.0,2.3,16.6,No,Yes,Low,1.0,No,Salle 2,143.0,0.7166666666666666,1.0,0.19642323890309524,0.47279999999999994,61.800132802124836,1,1,0,0,True,False,False,False,False,False
ENSPD000087,Female,25.0,3,0.500777604976672,32.0,0.8641425389755011,0.649,0.49200000000000005,1.0,0.0,5.5,No,No,Middle,1.0,Yes,Salle 16,185.0,0.5847222222222221,1.0,0.19197579004411472,0.1358,61.453713527851455,0,0,1,0,False,False,True,False,False,False
ENSPD000088,Female,24.0,4,0.5552099533437015,29.0,0.7204899777282852,0.596,0.9590000000000001,0.0,1.6,8.6,Yes,No,Middle,1.0,Yes,Salle 5,178.0,0.8194444444444444,1.0,0.13623404086336136,0.0,61.916933638443936,0,0,1,1,False,False,False,False,True,False
ENSPD000089,Female,24.0,2,0.9766718506998445,2.0,0.6247216035634744,0.7440000000000001,1.0,1.0,0.7,5.8,No,No,Middle,1.0,Yes,Salle 8,298.0,0.7625,1.0,0.2640569756649275,0.197,61.36358885017421,0,0,1,0,False,False,False,True,False,False
ENSPD000090,Male,19.0,3,0.7573872472783826,16.0,0.5,0.688,0.7170000000000001,1.0,1.4,19.9,No,No,Middle,2.0,Yes,Salle 8,185.0,0.5319444444444444,1.0,0.30024746999740515,0.1688,61.453713527851455,1,0,1,0,False,False,True,False,False,False
ENSPD000091,Male,20.0,3,0.5396578538102644,30.0,0.6069042316258353,0.568,0.6970000000000001,1.0,1.3,3.4,Yes,No,Middle,2.0,Yes,Salle 15,263.0,0.5013888888888889,1.0,0.23995697239891747,0.1408,61.36358885017421,1,0,1,1,False,False,False,True,False,False
ENSPD000092,Female,17.0,4,0.609642301710731,25.0,0.8841870824053452,0.434,0.449,1.0,3.6,17.4,No,No,Middle,2.0,No,Salle 26,230.0,0.4472222222222222,1.0,0.2936145199182971,0.14980000000000002,61.36358885017421,0,0,0,0,False,False,False,True,False,False
ENSPD000093,Female,20.0,3,0.5769828926905131,27.0,0.6113585746102449,0.47200000000000003,0.425,1.0,1.0,9.1,Yes,No,Middle,1.0,No,Salle 25,185.0,0.4263888888888888,1.0,0.2931794634680539,0.1456,61.453713527851455,0,0,0,1,False,False,True,False,False,False
ENSPD000094,Male,24.0,2,0.7122861586314152,18.0,0.6447661469933185,0.35600000000000004,0.635,2.0,3.5,17.4,No,No,Middle,1.0,Yes,Salle 18,231.0,0.475,1.0,0.31571386346821384,0.326,61.916933638443936,1,0,1,0,False,False,False,False,True,False
