gender,age,filiere,year_of_study,attendance_rate,num_absences,assignments_avg,midterm_score,final_score,project_participation,lab_hours_per_week,infra_usage_hours_month,supervisor_assigned,scholarship,socioeconomic_status,extracurricular_count,lab_access,classroom_allocated,promotion_size
Male,22.0,GenieCivil,3,52.2,48.0,66.8,55.3,41.1,1.0,8.0,35.1,No,No,Middle,0.0,Yes,Salle 28,185.0
Male,24.0,Informatique,3,79.5,20.0,58.2,84.2,33.6,2.0,2.2,15.8,Yes,Yes,Low,1.0,Yes,Salle 24,263.0
Male,22.0,Energetique,3,99.0,1.0,81.0,74.4,55.1,1.0,0.8,6.2,Yes,No,Low,1.0,Yes,Salle 10,104.0
Male,21.0,Mecanique,2,74.6,25.0,52.4,82.9,69.7,5.0,1.0,16.2,Yes,No,Middle,0.0,Yes,Salle 24,231.0
Male,20.0,Informatique,3,82.0,18.0,77.3,61.5,77.3,0.0,3.7,22.2,No,Yes,Middle,1.0,Yes,Salle 30,263.0
Male,23.0,Mecanique,2,70.3,30.0,65.1,68.4,65.5,0.0,4.5,24.7,Yes,Yes,Low,2.0,Yes,Salle 6,231.0
Male,20.0,Electrique,5,82.6,17.0,79.9,66.9,63.3,0.0,2.5,15.9,Yes,Yes,Middle,1.0,Yes,Salle 5,80.0
Female,19.0,Mecanique,2,97.8,2.0,66.3,33.7,51.5,2.0,1.2,8.6,Yes,No,Middle,1.0,Yes,Salle 9,231.0
Female,24.0,Electrique,5,82.2,5.0,72.7,66.4,45.9,0.0,2.5,11.5,Yes,No,Low,1.0,Yes,Salle 13,80.0
Female,23.0,Informatique,4,100.0,0.0,62.7,63.1,54.8,3.0,3.2,21.0,Yes,Yes,Middle,1.0,Yes,Salle 12,230.0
Male,27.0,Informatique,4,91.8,8.0,61.4,49.1,65.8,1.0,3.7,16.0,Yes,No,Middle,0.0,No,Salle 16,230.0
Male,22.0,Informatique,2,89.3,11.0,65.1,90.9,100.0,3.0,5.1,24.5,No,No,Middle,1.0,Yes,Salle 3,298.0
Female,21.0,Energetique,5,93.1,7.0,51.5,61.5,30.8,0.0,1.6,10.6,Yes,No,High,0.0,No,Salle 21,40.0
Other,21.0,Mecanique,4,62.7,37.0,61.2,58.4,62.4,1.0,1.4,7.5,Yes,No,Middle,1.0,No,Salle 13,178.0
Female,20.0,Mecanique,2,68.2,32.0,88.5,45.2,94.0,0.0,1.8,9.0,No,No,Middle,1.0,Yes,Salle 26,231.0
Female,21.0,GenieCivil,2,77.1,23.0,53.8,83.6,38.1,2.0,0.6,8.3,No,Yes,High,1.0,Yes,Salle 7,177.0
Male,21.0,Telecom,3,81.6,18.0,63.3,44.0,54.2,0.0,2.3,16.4,Yes,No,Middle,0.0,Yes,Salle 28,154.0
Female,22.0,Chimie,2,85.9,14.0,75.0,56.8,74.0,1.0,0.4,11.5,Yes,No,Low,3.0,Yes,Salle 27,119.0
Female,22.0,Mecanique,2,65.5,34.0,54.7,45.0,71.9,0.0,0.2,7.8,Yes,No,Middle,0.0,Yes,Salle 3,231.0
Female,20.0,Mecanique,2,78.8,21.0,62.6,55.6,30.4,1.0,2.3,16.9,No,No,Middle,0.0,Yes,Salle 6,231.0
Male,22.0,Informatique,4,76.5,24.0,60.2,58.8,79.5,3.0,0.1,11.5,Yes,Yes,Middle,2.0,No,Salle 8,230.0
Female,19.0,Informatique,1,100.0,0.0,91.4,62.1,59.7,1.0,0.6,6.3,Yes,No,Middle,1.0,No,Salle 22,248.0
Male,22.0,Telecom,2,75.2,25.0,55.2,78.0,77.6,2.0,2.4,17.1,Yes,No,High,1.0,Yes,Salle 27,161.0
Male,21.0,Mecanique,3,70.8,29.0,55.0,95.8,68.0,1.0,1.0,10.3,Yes,No,Middle,1.0,Yes,Salle 18,212.0
Male,24.0,Informatique,4,91.8,8.0,76.3,53.9,100.0,0.0,2.0,11.1,Yes,No,Low,0.0,Yes,Salle 4,230.0
Male,19.0,Electrique,2,78.7,21.0,65.1,75.6,61.4,3.0,5.1,20.7,Yes,No,High,0.0,Yes,Salle 5,185.0
Male,21.0,GenieCivil,2,76.4,24.0,51.4,57.1,100.0,1.0,1.4,15.7,No,No,Middle,1.0,Yes,Salle 29,177.0
Male,21.0,Electrique,4,82.6,17.0,65.1,65.6,83.8,0.0,4.4,22.3,Yes,No,Low,1.0,Yes,Salle 23,157.0
Female,20.0,Electrique,4,74.7,25.0,70.4,55.1,99.7,1.0,0.0,9.2,Yes,No,Middle,0.0,Yes,Salle 10,157.0
Male,20.0,GenieCivil,2,66.4,34.0,68.8,71.3,78.8,1.0,2.5,14.4,Yes,No,Low,1.0,Yes,Salle 16,177.0
Male,23.0,Mecanique,4,74.7,25.0,59.3,89.9,91.4,1.0,1.2,12.5,No,No,Low,1.0,Yes,Salle 5,178.0
Female,22.0,Electrique,3,89.3,11.0,35.0,77.6,54.4,2.0,1.4,9.1,Yes,No,Middle,1.0,Yes,Salle 23,188.0
Female,23.0,Informatique,2,81.1,19.0,53.7,42.2,56.3,2.0,1.4,9.1,No,No,Middle,3.0,Yes,Salle 12,298.0
Male,19.0,Informatique,4,48.3,52.0,19.2,19.4,41.7,1.0,0.2,7.8,Yes,No,Middle,1.0,No,Salle 6,230.0
Male,21.0,Informatique,2,81.7,18.0,61.4,63.9,85.5,1.0,0.7,7.3,Yes,No,Middle,0.0,Yes,Salle 25,298.0
Female,19.0,Informatique,2,86.3,14.0,82.4,67.6,40.1,3.0,3.1,11.5,No,No,Middle,0.0,Yes,Salle 19,298.0
Male,20.0,Chimie,2,98.1,2.0,83.6,18.7,45.9,0.0,3.9,21.4,No,No,High,0.0,Yes,Salle 26,119.0
Male,23.0,GenieCivil,1,83.0,17.0,62.9,81.5,39.7,1.0,0.3,14.8,Yes,No,Middle,2.0,No,Salle 1,149.0
Female,22.0,Informatique,4,100.0,0.0,65.4,58.0,63.0,1.0,1.6,17.1,Yes,No,Low,1.0,Yes,Salle 20,230.0
Female,20.0,GenieCivil,3,71.1,29.0,72.7,62.6,38.7,2.0,0.4,11.0,No,No,Middle,1.0,Yes,Salle 28,185.0
Female,21.0,Telecom,3,85.4,15.0,62.9,61.0,66.1,0.0,0.1,8.1,Yes,No,High,1.0,Yes,Salle 7,154.0
Female,20.0,Chimie,1,80.6,19.0,38.5,41.2,43.9,0.0,1.0,12.0,Yes,No,Low,2.0,Yes,Salle 26,96.0
Other,19.0,Electrique,1,100.0,0.0,53.2,63.6,57.8,0.0,2.5,19.0,Yes,No,Middle,1.0,Yes,Salle 12,143.0
Male,21.0,Telecom,2,100.0,0.0,53.4,37.6,88.0,2.0,0.0,0.6,No,No,Middle,0.0,Yes,Salle 26,161.0
Male,22.0,Mecanique,1,78.1,22.0,62.3,92.2,70.7,2.0,2.7,11.6,Yes,No,Middle,1.0,Yes,Salle 13,186.0
Female,23.0,Mecanique,4,67.3,33.0,75.5,83.5,37.4,1.0,1.4,9.3,Yes,Yes,Middle,1.0,Yes,Salle 30,178.0
Female,22.0,Telecom,4,80.1,20.0,78.6,73.8,63.5,2.0,1.7,14.3,Yes,No,Middle,1.0,No,Salle 17,121.0
Female,21.0,Mecanique,3,88.2,12.0,82.1,37.8,68.2,0.0,1.4,18.7,Yes,No,High,2.0,No,Salle 28,212.0
Female,22.0,Electrique,5,85.2,15.0,35.9,70.6,66.2,2.0,0.2,11.5,Yes,No,Low,1.0,Yes,Salle 8,80.0
Other,24.0,Telecom,1,62.8,37.0,71.4,91.0,52.9,0.0,0.3,3.5,No,No,High,1.0,Yes,Salle 7,121.0
Female,25.0,Informatique,1,86.2,14.0,72.2,81.8,71.5,3.0,3.9,26.0,No,Yes,Low,0.0,Yes,Salle 21,248.0
Male,22.0,Mecanique,1,87.5,12.0,65.7,26.4,65.9,1.0,1.2,17.0,Yes,No,Low,0.0,Yes,Salle 18,186.0
Female,25.0,GenieCivil,5,94.1,6.0,64.9,83.8,63.5,1.0,1.4,0.0,Yes,No,Middle,1.0,Yes,Salle 15,70.0
Male,25.0,Energetique,1,81.3,19.0,70.7,32.7,47.6,1.0,0.3,2.9,No,No,Middle,1.0,Yes,Salle 26,83.0
Male,22.0,Mecanique,3,85.7,14.0,35.1,61.6,59.9,1.0,4.6,11.5,Yes,No,Middle,2.0,Yes,Salle 5,212.0
Female,25.0,GenieCivil,3,69.4,31.0,45.1,80.0,71.3,2.0,3.4,21.4,Yes,Yes,Middle,0.0,Yes,Salle 16,185.0
Male,22.0,GenieCivil,5,80.2,20.0,59.2,93.6,50.6,0.0,0.9,9.2,Yes,No,Low,3.0,Yes,Salle 25,70.0
Male,23.0,Electrique,3,82.2,15.0,51.8,56.9,53.6,0.0,0.2,1.1,Yes,Yes,Middle,2.0,Yes,Salle 16,188.0
Female,22.0,Chimie,3,95.3,5.0,67.7,53.5,65.4,0.0,0.3,6.4,No,No,Low,1.0,No,Salle 22,130.0
Female,20.0,Energetique,3,95.9,4.0,60.6,82.5,66.8,1.0,0.1,12.0,No,No,Low,2.0,Yes,Salle 26,104.0
Male,21.0,Mecanique,5,81.3,19.0,91.1,94.3,52.1,3.0,0.8,7.3,No,No,Middle,2.0,No,Salle 12,67.0
Female,22.0,Energetique,3,100.0,0.0,86.1,46.6,27.1,2.0,1.4,6.7,No,No,Middle,0.0,Yes,Salle 28,104.0
Male,23.0,Electrique,5,70.2,30.0,54.5,89.8,86.6,0.0,2.3,11.6,No,No,Middle,2.0,Yes,Salle 24,80.0
Female,24.0,Informatique,1,69.8,30.0,55.9,69.4,90.0,1.0,10.2,47.3,Yes,No,High,2.0,Yes,Salle 25,248.0
Male,24.0,Electrique,5,90.7,9.0,58.3,69.2,84.4,2.0,2.4,13.0,Yes,Yes,Middle,2.0,No,Salle 19,80.0
Male,21.0,Informatique,5,64.6,35.0,48.4,68.2,51.7,1.0,0.7,10.1,No,No,Low,0.0,Yes,Salle 4,109.0
Male,21.0,Telecom,2,76.7,23.0,45.2,49.1,47.1,1.0,0.7,11.1,No,No,Middle,1.0,No,Salle 8,161.0
Female,22.0,Mecanique,2,83.7,16.0,64.4,92.0,65.2,3.0,0.5,17.3,Yes,No,Middle,0.0,Yes,Salle 30,231.0
Male,21.0,Telecom,5,97.2,3.0,57.1,100.0,67.4,4.0,1.4,12.0,No,No,Middle,3.0,Yes,Salle 17,60.0
Male,18.0,Electrique,1,85.4,15.0,45.2,61.6,35.8,2.0,6.0,29.7,Yes,No,High,1.0,No,Salle 2,143.0
Male,24.0,Electrique,3,64.1,36.0,72.4,80.4,63.5,1.0,0.5,14.8,Yes,No,High,0.0,No,Salle 27,188.0
Female,19.0,GenieCivil,3,77.3,23.0,50.7,61.2,48.3,0.0,2.4,13.8,Yes,No,Middle,1.0,No,Salle 14,185.0
Female,27.0,Informatique,1,73.4,27.0,78.6,93.0,33.7,1.0,1.8,14.3,Yes,No,Middle,0.0,Yes,Salle 19,248.0
Female,22.0,Informatique,3,62.6,37.0,62.9,62.9,76.6,2.0,0.0,6.6,Yes,No,Middle,0.0,Yes,Salle 26,263.0
Male,20.0,Informatique,2,86.1,14.0,62.2,51.4,52.0,0.0,0.1,6.7,Yes,Yes,Low,0.0,Yes,Salle 4,298.0
Female,18.0,Mecanique,1,94.9,5.0,76.0,38.0,54.2,1.0,2.6,11.5,No,No,Low,2.0,Yes,Salle 3,186.0
Male,22.0,Informatique,2,91.5,8.0,82.9,76.9,61.0,1.0,0.2,5.0,No,No,Middle,2.0,Yes,Salle 26,298.0
Female,21.0,Electrique,4,82.4,18.0,68.2,50.4,63.5,2.0,7.5,37.4,Yes,No,Low,0.0,No,Salle 14,157.0
Female,21.0,Telecom,1,74.2,26.0,65.1,47.7,63.5,1.0,1.5,11.5,Yes,Yes,Middle,1.0,Yes,Salle 30,121.0
Male,22.0,Informatique,5,59.9,40.0,47.9,67.9,45.4,0.0,2.7,14.2,Yes,No,Middle,1.0,No,Salle 14,109.0
Male,22.0,Electrique,1,87.7,12.0,67.8,30.4,48.8,1.0,1.5,8.5,Yes,No,Middle,1.0,Yes,Salle 24,143.0
Male,20.0,GenieCivil,1,90.8,9.0,86.8,26.9,41.7,1.0,0.1,9.0,Yes,No,Low,0.0,Yes,Salle 3,149.0
Male,26.0,GenieCivil,2,88.0,12.0,67.4,83.2,41.8,2.0,2.8,11.4,Yes,Yes,Low,1.0,Yes,Salle 14,177.0
Male,20.0,Informatique,3,78.1,22.0,56.7,56.6,93.2,0.0,0.9,7.0,Yes,No,Middle,0.0,No,Salle 3,263.0
